آبادا	تولید نیروی برق آبادان
آسیا	بیمه آسیا
اتکام	بیمه اتکایی امین
البرز	بیمه البرز
بفجر	فجر انرژی خلیج فارس
پارسیان	بیمه پارسیان
تایرا	تراکتورسازی ایران
تپمپی	پمپ  سازی  ایران
تکشا	گسترش صنایع وخدمات کشاورزی
تکمبا	کمباین  سازی  ایران
تکنو	تکنوتار
دانا	بیمه دانا
شبریز	پالایش نفت تبریز
شبندر	پالایش نفت بندرعباس
شبهرن	نفت  بهران
شپنا	پالایش نفت اصفهان
شتران	پالایش نفت تهران
شراز	پالایش نفت شیراز
شسپا	نفت سپاهان
شستا	سرمایه گذاری تامین اجتماعی
شنفت	نفت  پارس
غاذر	کشت وصنعت پیاذر
غالبر	لبنیات کالبر
غانیزان	فرآورده های دامی ولبنی دالاهو
غبشهر	صنعتی  بهشهر
غبهنوش	بهنوش  ایران
غپاک	لبنیات  پاک
غپینو	پارس  مینو
غچین	کشت  و صنعت  چین  چین
غدام	خوراک  دام  پارس
غدشت	دشت  مرغاب
غزر	صنعتی زر ماکارون
غسالم	سالمین
غشاذر	پگاه آذربایجان غربی
غشان	شیرپاستوریزه پگاه خراسان
غشصفا	شیرپاستوریزه پگاه اصفهان
غشهد	شهد ایران
غکورش	صنعت غذایی کورش
غگرجی	بیسکویت  گرجی
غگل	گلوکوزان
غمهرا	تولیدی مهرام
غنوش	نوش مازندران
قپیرا	فرآورده های غدایی وقندپیرانشهر
قثابت	قند ثابت  خراسان
قزوین	کارخانجات  قند قزوین
قشکر	شکر
قشهد	شهد
قصفها	قنداصفهان
قلرست	قند لرستان
قمرو	قند مرودشت
قنیشا	قند نیشابور
قهکمت	قندهکمتان
کاذر	فرآورده های نسوزآذر
کپارس	کاشی  پارس
کپشیر	پشم شیشه ایران
کترام	تولیدی  کاشی  تکسرام
کحافظ	کاشی  وسرامیک  حافظ
کخاک	صنایع خاک چینی ایران
کرازی	کارخانجات تولیدی شیشه رازی
کساپا	سایپاشیشه
کساوه	صنایع  کاشی  و سرامیک  سینا
کسرا	سرامیک های صنعتی اردکان
کسرام	پارس  سرام
کسعدی	کاشی  سعدی
کطبس	ذغال سنگ  نگین  ط بس
کفپارس	فرآورده های  نسوز پارس
کفرا	فراورده  های  نسوزایران
کگاز	شیشه  و گاز
کلوند	کاشی  الوند
کماسه	تامین  ماسه  ریخته گری
کهمدا	شیشه  همدان
لابسا	آبسال
لبوتان	گروه صنعتی بوتان
لپارس	پارس  الکتریک
لخزر	پارس  خزر
لسرما	سرما آفرین
ما	بیمه ما
مبین	مبین انرژی خلیج فارس
محتشم	نساجی هدیه البرز مشهد
ملت	بیمه ملت
نمرینو	ایران  مرینوس
وآفری	بیمه کارآفرین
وامید	گروه مدیریت سرمایه گذاری امید
وایران	لیزینگ ایرانیان
وبانک	سرمایه گذاری گروه توسعه ملی
وبشهر	توسعه  صنایع  بهشهر(هلدینگ
وبصادر	بانک صادرات ایران
وبملت	بانک ملت
وپارس	بانک پارسیان
وپاسار	بانک پاسارگاد
وپست	پست بانک ایران
وتجارت	بانک تجارت
وتوشه	سرمایه گذاری پارس  توشه
وخاور	بانک خاورمیانه
وسینا	بانک سینا
وصندوق	سرمایه گذاری صندوق بازنشستگی
